strategy,framework,option,molecule,n_qubits,noise_level,noise_scale,comparable,energy,energy_error,fci_energy,n_parameters,iterations,n_operators,depth,cnot_count,gate_count,converged,operators,lambda,lambda_init,lambda_final,n_restarts,runtime_s,timestamp,error
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,ManilaV2x0.25,0.25,True,-1.12204376461112,0.01526227135052971,-1.1373060359616498,1,1,1,9,6,15,True,D:YYYX@0123[cx=6],,,,,6.66,2026-09-04T06:16:32,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,ManilaV2x0.25,0.25,True,-1.12204376461112,0.01526227135052971,-1.1373060359616498,1,1,1,9,6,15,True,D:YYYX@0123[cx=6],1.0,1.0,1.0,,6.54,2026-09-04T06:16:38,
ADAPT-VQE(noise-realized),pennylane,A-novel,H2(full),4,ManilaV2x0.25,0.25,True,-1.1234751025402185,0.013830933421431268,-1.1373060359616498,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],1.0,1.0,1.0,,2.37,2026-09-04T06:16:41,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,H2(full),4,ManilaV2x0.25,0.25,True,-1.1234751025402185,0.013830933421431268,-1.1373060359616498,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],0.5696084888317626,1.0,0.5696084888317626,,2.09,2026-09-04T06:16:43,
UCCSD,qiskit,B,H2(full),4,ManilaV2x0.5,0.5,True,-0.9488434557295312,0.1884625802321186,-1.1373060359616498,3,50,3,82,56,122,,,,,,,0.26,2026-09-04T06:16:43,
HEA(reps=2),qiskit,B,H2(full),4,ManilaV2x0.5,0.5,True,-1.1070115276771668,0.03029450828448299,-1.1373060359616498,24,1800,24,11,6,30,,,,,,3,8.0,2026-09-04T06:16:51,
ADAPT-VQE(standard),qiskit,B,H2(full),4,ManilaV2x0.5,0.5,True,-0.9673050127123849,0.17000102324926492,-1.1373060359616498,1,1,1,72,48,96,,,,,,,0.12,2026-09-04T06:16:51,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,ManilaV2x0.5,0.5,True,-1.1168962573694656,0.02040977859218418,-1.1373060359616498,0,0,0,0,0,0,True,,,,,,1.39,2026-09-04T06:16:52,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,ManilaV2x0.5,0.5,True,-1.1168962573694656,0.02040977859218418,-1.1373060359616498,0,0,0,0,0,0,True,,1.0,1.0,1.0,,1.31,2026-09-04T06:16:54,
ADAPT-VQE(noise-realized),pennylane,A-novel,H2(full),4,ManilaV2x0.5,0.5,True,-1.1168962573694656,0.02040977859218418,-1.1373060359616498,0,0,0,0,0,0,True,,1.0,1.0,1.0,,3.32,2026-09-04T06:16:57,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,H2(full),4,ManilaV2x0.5,0.5,True,-1.1168962573694656,0.02040977859218418,-1.1373060359616498,0,0,0,0,0,0,True,,1.0,1.0,1.0,,3.41,2026-09-04T06:17:01,
UCCSD,qiskit,B,H2(full),4,ManilaV2x1,1.0,True,-0.7962788002384179,0.3410272357232319,-1.1373060359616498,3,54,3,82,56,122,,,,,,,0.3,2026-09-04T06:17:01,
HEA(reps=2),qiskit,B,H2(full),4,ManilaV2x1,1.0,True,-1.079488678202471,0.057817357759178734,-1.1373060359616498,24,1800,24,11,6,30,,,,,,3,7.94,2026-09-04T06:17:09,
ADAPT-VQE(standard),qiskit,B,H2(full),4,ManilaV2x1,1.0,True,-0.8270426185545371,0.3102634174071127,-1.1373060359616498,1,1,1,72,48,96,,,,,,,0.12,2026-09-04T06:17:09,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,ManilaV2x1,1.0,True,-1.1167935072831527,0.020512528678497066,-1.1373060359616498,0,0,0,0,0,0,True,,,,,,1.33,2026-09-04T06:17:10,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,ManilaV2x1,1.0,True,-1.1167935072831527,0.020512528678497066,-1.1373060359616498,0,0,0,0,0,0,True,,1.0,1.0,1.0,,1.32,2026-09-04T06:17:12,
ADAPT-VQE(noise-realized),pennylane,A-novel,H2(full),4,ManilaV2x1,1.0,True,-1.1167935072831527,0.020512528678497066,-1.1373060359616498,0,0,0,0,0,0,True,,1.0,1.0,1.0,,3.43,2026-09-04T06:17:15,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,H2(full),4,ManilaV2x1,1.0,True,-1.1167935072831527,0.020512528678497066,-1.1373060359616498,0,0,0,0,0,0,True,,1.0,1.0,1.0,,3.39,2026-09-04T06:17:18,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.7270927053369185,3.126224488170237e-07,-7.727093017959367,8,300,8,363,272,502,,,,,,,4.52,2026-09-04T06:17:24,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.712919519950902,0.014173498008465124,-7.727093017959367,36,1800,36,13,10,46,,,,,,3,15.66,2026-09-04T06:17:40,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.72709260676282,4.111965470343648e-07,-7.727093017959367,4,4,4,187,132,246,,,,,,,4.61,2026-09-04T06:17:44,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.727082765867603,1.025209176397368e-05,-7.727093017959367,7,7,7,50,36,87,False,D:XXYX@0123[cx=6] S:YZX@012[cx=4] D:XXYX@0145[cx=6] D:YXYY@0145[cx=6] S:YZX@123[cx=4] S:XZY@012[cx=4] D:YXYY@0145[cx=6],,,,,98.04,2026-09-04T06:19:22,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.727084853673926,8.164285441480956e-06,-7.727093017959367,7,7,7,49,34,81,False,D:XXYX@0123[cx=6] S:YZX@012[cx=4] D:XXYX@0145[cx=6] D:YXYY@0145[cx=6] S:YZX@123[cx=4] S:XZY@012[cx=4] S:XZY@123[cx=4],1.0,1.0,1.0,,100.6,2026-09-04T06:21:03,
ADAPT-VQE(noise-realized),pennylane,A-novel,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.726992403262012,0.00010061469735500594,-7.727093017959367,5,5,5,37,26,63,True,D:YYXY@0123[cx=6] S:XZY@012[cx=4] D:XXXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@123[cx=4],1.0,1.0,1.0,,134.78,2026-09-04T06:23:18,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.726992403262012,0.00010061469735500594,-7.727093017959367,5,5,5,37,26,63,True,D:YYXY@0123[cx=6] S:XZY@012[cx=4] D:XXXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@123[cx=4],0.9065264564811365,1.0,0.9065264564811365,,132.41,2026-09-04T06:25:30,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.602438414454033,0.1246546035053342,-7.727093017959367,8,147,8,363,272,502,,,,,,,4.22,2026-09-04T06:25:34,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.710210602200238,0.016882415759129188,-7.727093017959367,36,1800,36,13,10,46,,,,,,3,19.31,2026-09-04T06:25:54,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.5557952527783625,0.1712977651810048,-7.727093017959367,10,10,10,541,388,710,,,,,,,57.38,2026-09-04T06:26:51,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.721397952058476,0.005695065900891194,-7.727093017959367,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],,,,,46.36,2026-09-04T06:27:37,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.721397952058476,0.005695065900891194,-7.727093017959367,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],1.0,1.0,1.0,,46.41,2026-09-04T06:28:24,
ADAPT-VQE(noise-realized),pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.721856069807214,0.0052369481521532535,-7.727093017959367,2,2,2,16,10,24,True,D:YXYY@0123[cx=6] S:XZY@123[cx=4],1.0,1.0,1.0,,121.04,2026-09-04T06:30:25,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.721856069807214,0.0052369481521532535,-7.727093017959367,2,2,2,16,10,24,True,D:YXYY@0123[cx=6] S:XZY@123[cx=4],0.36979270026250405,1.0,0.36979270026250405,,123.31,2026-09-04T06:32:28,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.507948546903739,0.2191444710556283,-7.727093017959367,8,155,8,363,272,502,,,,,,,4.37,2026-09-04T06:32:33,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.7027444387215835,0.024348579237783774,-7.727093017959367,36,1800,36,13,10,46,,,,,,3,19.25,2026-09-04T06:32:52,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.489810722739339,0.23728229522002842,-7.727093017959367,8,8,8,432,308,574,,,,,,,31.65,2026-09-04T06:33:23,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.716902258771502,0.010190759187865162,-7.727093017959367,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],,,,,56.42,2026-09-04T06:34:20,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.716902258771502,0.010190759187865162,-7.727093017959367,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],1.0,1.0,1.0,,55.42,2026-09-04T06:35:15,
ADAPT-VQE(noise-realized),pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.717798922095696,0.009294095863671359,-7.727093017959367,2,2,2,16,10,24,True,D:YXYY@0123[cx=6] S:XZY@123[cx=4],1.0,1.0,1.0,,114.21,2026-09-04T06:37:10,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.717798922095696,0.009294095863671359,-7.727093017959367,2,2,2,16,10,24,True,D:YXYY@0123[cx=6] S:XZY@123[cx=4],0.49340171191609866,1.0,0.49340171191609866,,114.03,2026-09-04T06:39:04,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.379589491648732,0.34750352631063564,-7.727093017959367,8,137,8,363,272,502,,,,,,,3.96,2026-09-04T06:39:08,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.698601251504705,0.028491766454662226,-7.727093017959367,36,1800,36,13,10,46,,,,,,3,18.89,2026-09-04T06:39:26,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.3831126899713855,0.34398032798798184,-7.727093017959367,5,5,5,347,252,454,,,,,,,6.58,2026-09-04T06:39:33,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.710813425065475,0.016279592893892136,-7.727093017959367,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],,,,,42.1,2026-09-04T06:40:15,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.710813425065475,0.016279592893892136,-7.727093017959367,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],1.0,1.0,1.0,,41.14,2026-09-04T06:40:56,
ADAPT-VQE(noise-realized),pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.710813425065475,0.016279592893892136,-7.727093017959367,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],1.0,1.0,1.0,,56.43,2026-09-04T06:41:53,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.710813425065475,0.016279592893892136,-7.727093017959367,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],2.525464176886391,1.0,2.525464176886391,,59.18,2026-09-04T06:42:52,
