strategy,framework,option,molecule,n_qubits,noise_level,noise_scale,comparable,energy,energy_error,fci_energy,n_parameters,iterations,n_operators,depth,cnot_count,gate_count,converged,operators,lambda,n_restarts,runtime_s,timestamp,error
HEA(reps=2),qiskit,B,H2(full),4,ManilaV2x0.5,0.5,True,-1.1070115276771668,0.030294508284479438,-1.1373060359616463,24,1800,24,11,6,30,,,,3,70.84,2026-09-03T20:39:42,
ADAPT-VQE(standard),qiskit,B,H2(full),4,ManilaV2x0.5,0.5,True,-0.9673050127123849,0.17000102324926136,-1.1373060359616463,1,1,1,72,48,96,,,,,0.98,2026-09-03T20:39:43,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,ManilaV2x0.5,0.5,True,-1.1168962573694656,0.020409778592180627,-1.1373060359616463,0,0,0,0,0,0,True,,,,10.48,2026-09-03T20:39:53,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,ManilaV2x0.5,0.5,True,-1.1168962573694656,0.020409778592180627,-1.1373060359616463,0,0,0,0,0,0,True,,1.0,,10.29,2026-09-03T20:40:03,
UCCSD,qiskit,B,H2(full),4,ManilaV2x1,1.0,True,-0.7962788002384179,0.34102723572322835,-1.1373060359616463,3,54,3,82,56,122,,,,,2.46,2026-09-03T20:40:06,
HEA(reps=2),qiskit,B,H2(full),4,ManilaV2x1,1.0,True,-1.079488678202471,0.05781735775917518,-1.1373060359616463,24,1800,24,11,6,30,,,,3,70.25,2026-09-03T20:41:16,
ADAPT-VQE(standard),qiskit,B,H2(full),4,ManilaV2x1,1.0,True,-0.8270426185545371,0.31026341740710917,-1.1373060359616463,1,1,1,72,48,96,,,,,1.08,2026-09-03T20:41:17,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,ManilaV2x1,1.0,True,-1.1167935072831527,0.020512528678493513,-1.1373060359616463,0,0,0,0,0,0,True,,,,10.87,2026-09-03T20:41:28,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,ManilaV2x1,1.0,True,-1.1167935072831527,0.020512528678493513,-1.1373060359616463,0,0,0,0,0,0,True,,1.0,,10.61,2026-09-03T20:41:39,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.7270927053369185,3.126225074367994e-07,-7.727093017959426,8,300,8,363,272,502,,,,,36.95,2026-09-03T20:42:16,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.712919519950902,0.014173498008523744,-7.727093017959426,36,1800,36,13,10,46,,,,3,137.01,2026-09-03T20:44:33,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.72709260676282,4.111966056541405e-07,-7.727093017959426,4,4,4,187,132,246,,,,,6.28,2026-09-03T20:44:39,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.727089112932588,3.905026837891512e-06,-7.727093017959426,8,8,8,60,42,102,True,D:XXYX@0123[cx=6] S:YZX@012[cx=4] D:XXYX@0145[cx=6] D:YXYY@0145[cx=6] S:YZX@123[cx=4] D:XXYX@0123[cx=6] S:YZX@012[cx=4] D:YXYY@0145[cx=6],,,918.19,2026-09-03T20:59:57,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,noiseless,0.0,True,-7.7270902236390375,2.7943203884106538e-06,-7.727093017959426,7,7,7,50,34,81,True,D:XXYX@0123[cx=6] S:YZX@012[cx=4] D:XXYX@0145[cx=6] D:YXYY@0145[cx=6] S:YZX@123[cx=4] S:XZY@123[cx=4] S:XZY@012[cx=4],1.0,,370.52,2026-09-03T21:06:08,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.602438414454033,0.12465460350539281,-7.727093017959426,8,147,8,363,272,502,,,,,4.49,2026-09-03T21:06:12,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.710210602200238,0.016882415759187808,-7.727093017959426,36,1800,36,13,10,46,,,,3,22.4,2026-09-03T21:06:35,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.5557952527783625,0.17129776518106343,-7.727093017959426,10,10,10,541,388,710,,,,,380.77,2026-09-03T21:12:56,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.721397952058476,0.005695065900949814,-7.727093017959426,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],,,121.69,2026-09-03T21:14:57,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x0.25,0.25,True,-7.721397952058476,0.005695065900949814,-7.727093017959426,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],1.0,,138.94,2026-09-03T21:17:16,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.507948546903739,0.2191444710556869,-7.727093017959426,8,155,8,363,272,502,,,,,44.03,2026-09-03T21:18:00,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.7027444387215835,0.024348579237842394,-7.727093017959426,36,1800,36,13,10,46,,,,3,101.35,2026-09-03T21:19:42,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.489810722739339,0.23728229522008704,-7.727093017959426,8,8,8,432,308,574,,,,,277.57,2026-09-03T21:24:19,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.716902258771502,0.010190759187923781,-7.727093017959426,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],,,367.92,2026-09-03T21:30:27,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x0.5,0.5,True,-7.716902258771502,0.010190759187923781,-7.727093017959426,2,2,2,16,10,24,True,D:YYYX@0123[cx=6] S:YZX@123[cx=4],1.0,,287.92,2026-09-03T21:35:15,
UCCSD,qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.379589491648732,0.34750352631069426,-7.727093017959426,8,137,8,363,272,502,,,,,27.45,2026-09-03T21:35:43,
HEA(reps=2),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.698601251504705,0.028491766454720846,-7.727093017959426,36,1800,36,13,10,46,,,,3,129.8,2026-09-03T21:37:53,
ADAPT-VQE(standard),qiskit,B,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.3831126899713855,0.34398032798804046,-7.727093017959426,5,5,5,347,252,454,,,,,52.37,2026-09-03T21:38:45,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.710813425065475,0.016279592893950756,-7.727093017959426,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],,,66.84,2026-09-03T21:39:52,
ADAPT-VQE(resource-aware),pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x1,1.0,True,-7.710813425065475,0.016279592893950756,-7.727093017959426,1,1,1,9,6,15,True,D:YXYY@0123[cx=6],1.0,,166.88,2026-09-03T21:42:39,
